frame,time_s,ball,conf,table_x,table_y
62,1.84,white,0.854,0.4446,0.3727
62,1.84,red,0.805,0.7518,0.3511
62,1.84,yellow,0.748,0.4081,0.6473
63,1.87,white,0.854,0.4446,0.3727
63,1.87,red,0.806,0.7518,0.3511
63,1.87,yellow,0.748,0.4081,0.6473
64,1.9,white,0.854,0.4446,0.3727
64,1.9,red,0.805,0.7518,0.3511
64,1.9,yellow,0.748,0.4081,0.6474
65,1.929,white,0.854,0.4446,0.3727
65,1.929,red,0.806,0.7518,0.3511
65,1.929,yellow,0.748,0.4081,0.6473
66,1.959,white,0.854,0.4446,0.3727
66,1.959,red,0.805,0.7518,0.3511
66,1.959,yellow,0.748,0.4081,0.6474
67,1.989,white,0.854,0.4446,0.3727
67,1.989,red,0.806,0.7518,0.3511
67,1.989,yellow,0.748,0.4081,0.6473
68,2.018,white,0.854,0.4446,0.3727
68,2.018,red,0.805,0.7518,0.3511
68,2.018,yellow,0.748,0.4081,0.6474
69,2.048,white,0.854,0.4446,0.3727
69,2.048,red,0.806,0.7518,0.3511
69,2.048,yellow,0.748,0.4081,0.6474
70,2.078,white,0.854,0.4446,0.3726
70,2.078,red,0.805,0.7518,0.3511
70,2.078,yellow,0.748,0.4081,0.6474
71,2.107,white,0.854,0.4446,0.3727
71,2.107,red,0.806,0.7518,0.3511
71,2.107,yellow,0.748,0.4081,0.6474
72,2.137,white,0.854,0.4446,0.3727
72,2.137,red,0.805,0.7518,0.3511
72,2.137,yellow,0.748,0.4081,0.6474
73,2.167,white,0.854,0.4446,0.3726
73,2.167,red,0.806,0.7518,0.3511
73,2.167,yellow,0.748,0.4081,0.6473
74,2.197,white,0.854,0.4446,0.3726
74,2.197,red,0.805,0.7518,0.3511
74,2.197,yellow,0.748,0.4081,0.6474
75,2.226,white,0.855,0.4446,0.3726
75,2.226,red,0.806,0.7518,0.3511
75,2.226,yellow,0.747,0.4081,0.6473
76,2.256,white,0.855,0.4446,0.3726
76,2.256,red,0.805,0.7518,0.3511
76,2.256,yellow,0.748,0.4081,0.6473
77,2.286,white,0.855,0.4446,0.3726
77,2.286,red,0.805,0.7518,0.3511
77,2.286,yellow,0.748,0.4081,0.6473
78,2.315,white,0.854,0.4446,0.3726
78,2.315,red,0.805,0.7518,0.3511
78,2.315,yellow,0.748,0.4081,0.6473
79,2.345,white,0.854,0.4446,0.3726
79,2.345,red,0.805,0.7518,0.3511
79,2.345,yellow,0.748,0.4081,0.6473
80,2.375,white,0.854,0.4446,0.3726
80,2.375,red,0.805,0.7518,0.3511
80,2.375,yellow,0.748,0.4081,0.6473
81,2.404,white,0.854,0.4446,0.3726
81,2.404,red,0.805,0.7518,0.3511
81,2.404,yellow,0.748,0.4081,0.6473
82,2.434,white,0.854,0.4446,0.3726
82,2.434,red,0.805,0.7518,0.3511
82,2.434,yellow,0.748,0.4081,0.6473
83,2.464,white,0.854,0.4446,0.3726
83,2.464,red,0.805,0.7518,0.3511
83,2.464,yellow,0.747,0.4081,0.6473
84,2.493,white,0.854,0.4446,0.3726
84,2.493,red,0.805,0.7518,0.3511
84,2.493,yellow,0.747,0.4081,0.6473
85,2.523,white,0.852,0.4446,0.3727
85,2.523,red,0.806,0.7518,0.3511
85,2.523,yellow,0.748,0.4081,0.6474
86,2.553,white,0.851,0.4446,0.3727
86,2.553,red,0.806,0.7518,0.3511
86,2.553,yellow,0.749,0.4081,0.6474
87,2.582,white,0.853,0.4446,0.3726
87,2.582,red,0.806,0.7518,0.3511
87,2.582,yellow,0.748,0.4081,0.6473
88,2.612,white,0.852,0.4446,0.3726
88,2.612,red,0.806,0.7518,0.3511
88,2.612,yellow,0.775,0.4083,0.647
89,2.642,white,0.85,0.4446,0.3726
89,2.642,red,0.806,0.7518,0.3511
89,2.642,yellow,0.773,0.4083,0.647
90,2.671,white,0.849,0.4446,0.3726
90,2.671,red,0.806,0.7517,0.3511
90,2.671,yellow,0.778,0.41,0.6358
91,2.701,white,0.852,0.4446,0.3727
91,2.701,red,0.807,0.7518,0.3512
91,2.701,yellow,0.784,0.41,0.6358
92,2.731,white,0.855,0.4447,0.3726
92,2.731,red,0.808,0.7518,0.3512
92,2.731,yellow,0.712,0.4151,0.5735
92,2.731,red,0.415,0.4567,0.8529
93,2.76,white,0.855,0.4447,0.3726
93,2.76,red,0.809,0.7518,0.3512
93,2.76,yellow,0.713,0.4151,0.5735
93,2.76,white,0.353,0.4883,0.8307
94,2.79,white,0.866,0.4447,0.3724
94,2.79,red,0.81,0.7518,0.3512
94,2.79,yellow,0.758,0.4199,0.5077
94,2.79,white,0.549,0.5176,0.8218
95,2.82,white,0.865,0.4447,0.3724
95,2.82,red,0.81,0.7518,0.3511
95,2.82,yellow,0.758,0.4199,0.5077
95,2.82,white,0.625,0.5578,0.8158
96,2.85,white,0.846,0.445,0.3715
96,2.85,red,0.811,0.7518,0.3511
96,2.85,white,0.657,0.5965,0.8167
96,2.85,yellow,0.651,0.4256,0.4473
97,2.879,white,0.845,0.445,0.3715
97,2.879,red,0.811,0.7518,0.3511
97,2.879,yellow,0.65,0.4256,0.4473
97,2.879,white,0.332,0.6551,0.8164
98,2.909,white,0.879,0.4484,0.3682
98,2.909,red,0.811,0.7517,0.3512
98,2.909,yellow,0.805,0.4244,0.3903
98,2.909,yellow,0.382,0.7367,0.8168
99,2.939,white,0.879,0.4484,0.3682
